"","date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"1","2015-05-08","22:18","6:03","465","NULL","17","NULL","NULL","410","8.5","84"
"2","2015-05-09","20:51","6:26","575","NULL","9","NULL","NULL","556","10","98"
"3","2015-05-10","0:59","8:38","459","NULL","9","NULL","NULL","444","9.5","94"
"4","2015-05-11","22:43","6:16","453","NULL","7","NULL","NULL","438","9","92"
"5","2015-05-12","20:56","6:09","553","NULL","11","NULL","NULL","486","10","98"
"6","2015-05-13","23:20","6:23","423","NULL","18","NULL","NULL","393","8.5","86"
"7","2015-05-14","23:39","6:40","420","NULL","6","NULL","NULL","405","9.5","94"
"8","2015-05-15","2:28","7:18","289","NULL","4","NULL","NULL","276","7","70"
"9","2015-05-16","0:24","7:36","432","NULL","7","NULL","NULL","414","9","91"
"10","2015-05-17","0:31","6:05","334","NULL","10","NULL","NULL","303","7","70"
"11","2015-05-18","3:03","7:03","240","NULL","8","NULL","NULL","221","5.5","57"
"12","2015-05-18","7:26","12:20","293","NULL","0","NULL","NULL","293","7.5","75"
"13","2015-05-21","23:11","5:58","407","NULL","9","NULL","NULL","378","8.5","86"
"14","2015-05-22","0:26","5:57","331","NULL","10","NULL","NULL","311","7","71"
"15","2015-05-23","22:25","8:03","578","NULL","12","NULL","NULL","549","9.5","93"
"16","2015-05-23","12:26","14:05","99","NULL","5","NULL","NULL","90","3.5","35"
"17","2015-05-24","23:10","7:38","508","NULL","12","NULL","NULL","481","9.5","96"
"18","2015-05-25","21:52","2:31","278","NULL","4","NULL","NULL","271","7","71"
"19","2015-05-25","2:39","7:00","261","NULL","9","NULL","NULL","215","6.5","67"
"20","2015-05-26","23:17","0:30","73","NULL","1","NULL","NULL","62","4","38"
"21","2015-05-26","2:46","7:44","298","NULL","10","NULL","NULL","274","6.5","66"
"22","2015-05-26","15:01","16:31","90","NULL","4","NULL","NULL","80","3","28"
"23","2015-05-27","22:28","6:05","457","NULL","9","NULL","NULL","434","9","92"
"24","2015-05-28","21:23","5:59","516","NULL","11","NULL","NULL","487","9.5","93"
"25","2015-05-29","23:50","5:17","327","NULL","9","NULL","NULL","304","7.5","74"
"26","2015-05-30","22:00","5:45","465","NULL","6","NULL","NULL","445","9.5","94"
"27","2015-05-31","23:41","6:40","419","NULL","9","NULL","NULL","397","9","91"
"28","2015-05-31","16:30","17:45","75","NULL","3","NULL","NULL","71","3.5","34"
"29","2015-06-01","23:50","6:22","392","NULL","9","NULL","NULL","365","9","88"
"30","2015-06-02","23:01","5:55","414","NULL","11","NULL","NULL","383","8.5","86"
"31","2015-06-03","23:32","6:28","416","NULL","10","NULL","NULL","382","8","82"
"32","2015-06-04","22:32","5:21","409","NULL","5","NULL","NULL","388","9","90"
"33","2015-06-05","23:40","6:13","393","NULL","7","NULL","NULL","376","8.5","86"
"34","2015-06-06","22:43","6:26","463","NULL","11","NULL","NULL","437","9","92"
"35","2015-06-06","15:13","16:40","87","NULL","3","NULL","NULL","78","3.5","33"
"36","2015-06-07","23:33","7:09","456","NULL","7","NULL","NULL","446","9.5","95"
"37","2015-06-08","23:06","6:50","464","NULL","8","NULL","NULL","450","9.5","94"
"38","2015-06-09","22:08","6:26","497","NULL","6","NULL","NULL","475","9.5","94"
"39","2015-06-10","22:02","5:22","440","NULL","3","NULL","NULL","431","9.5","93"
"40","2015-06-11","22:20","0:55","155","NULL","6","NULL","NULL","138","5","51"
"41","2015-06-11","1:36","5:53","257","NULL","4","NULL","NULL","251","6.5","66"
"42","2015-06-12","0:06","5:45","339","NULL","8","NULL","NULL","303","7.5","73"
"43","2015-06-13","21:43","4:48","425","NULL","8","NULL","NULL","404","9.5","94"
"44","2015-06-13","6:59","8:07","68","NULL","3","NULL","NULL","60","3.5","34"
"45","2015-06-14","23:12","7:33","501","NULL","11","NULL","NULL","463","9","90"
"46","2015-06-15","21:52","6:34","522","NULL","10","NULL","NULL","500","9.5","94"
"47","2015-06-16","22:58","3:39","281","NULL","6","NULL","NULL","269","6.5","67"
"48","2015-06-16","4:01","7:16","195","NULL","7","NULL","NULL","154","4.5","44"
"49","2015-06-17","21:41","3:57","376","NULL","11","NULL","NULL","339","7.5","76"
"50","2015-06-17","4:06","7:05","179","NULL","4","NULL","NULL","172","5.5","55"
"51","2015-06-18","23:31","7:24","473","NULL","21","NULL","NULL","419","8","81"
"52","2015-06-19","23:21","6:53","452","NULL","10","NULL","NULL","431","9.5","94"
"53","2015-06-20","23:13","7:29","496","NULL","11","NULL","NULL","471","9","92"
"54","2015-06-21","22:55","7:36","521","NULL","10","NULL","NULL","504","9.5","96"
"55","2015-06-22","22:39","6:02","443","NULL","8","NULL","NULL","412","9","92"
"56","2015-06-23","23:04","3:32","268","NULL","5","NULL","NULL","257","7","70"
"57","2015-06-24","21:57","5:58","481","NULL","7","NULL","NULL","452","9.5","96"
"58","2015-06-25","1:06","5:00","234","NULL","6","NULL","NULL","218","5.5","57"
"59","2015-06-26","21:29","3:57","388","NULL","3","NULL","NULL","380","9","88"
"60","2015-06-26","5:05","6:29","84","NULL","2","NULL","NULL","60","3.5","37"
"61","2015-06-27","22:25","4:06","341","NULL","10","NULL","NULL","312","7","69"
"62","2015-06-27","5:39","7:16","97","NULL","2","NULL","NULL","85","4","42"
"63","2015-06-28","22:04","6:40","516","NULL","5","NULL","NULL","510","10","98"
"64","2015-06-29","21:58","6:11","493","NULL","2","NULL","NULL","478","10","98"
"65","2015-06-30","21:57","6:33","516","NULL","14","NULL","NULL","484","9","91"
"66","2015-07-01","22:16","4:39","383","NULL","3","NULL","NULL","372","8.5","87"
"67","2015-07-02","23:23","6:09","406","NULL","7","NULL","NULL","385","9","88"
"68","2015-07-03","23:57","7:59","481","NULL","14","NULL","NULL","442","8.5","85"
"69","2015-07-04","23:58","7:33","455","NULL","13","NULL","NULL","421","8.5","87"
"70","2015-07-04","13:27","14:39","72","NULL","2","NULL","NULL","65","3.5","33"
"71","2015-07-05","22:16","6:11","475","NULL","8","NULL","NULL","454","9.5","94"
"72","2015-07-06","22:05","6:02","477","NULL","3","NULL","NULL","467","9.5","96"
"73","2015-07-07","23:00","5:36","396","NULL","16","NULL","NULL","361","8","79"
"74","2015-07-08","23:41","5:12","330","NULL","5","NULL","NULL","317","7.5","76"
"75","2015-07-09","22:19","5:57","458","NULL","3","NULL","NULL","449","9.5","95"
"76","2015-07-10","21:50","5:22","451","NULL","13","NULL","NULL","401","8","82"
"77","2015-07-11","21:27","6:03","516","NULL","10","NULL","NULL","483","9","91"
"78","2015-07-12","22:15","6:13","478","NULL","10","NULL","NULL","450","9.5","96"
"79","2015-07-13","22:37","5:18","401","NULL","7","NULL","NULL","376","8.5","83"
"80","2015-07-14","21:49","1:36","227","NULL","6","NULL","NULL","212","6.5","63"
"81","2015-07-14","2:35","5:53","198","NULL","5","NULL","NULL","173","5.5","53"
"82","2015-07-15","21:44","5:27","463","NULL","7","NULL","NULL","450","9.5","94"
"83","2015-07-16","22:05","4:56","411","NULL","15","NULL","NULL","335","8","80"
"84","2015-07-17","21:13","5:39","506","NULL","5","NULL","NULL","484","9.5","97"
"85","2015-07-18","21:05","7:27","622","NULL","21","NULL","NULL","556","8.5","85"
"86","2015-07-19","21:25","1:53","268","NULL","6","NULL","NULL","237","7","70"
"87","2015-07-19","2:35","7:04","269","NULL","2","NULL","NULL","252","7","70"
"88","2015-07-20","22:38","4:27","349","NULL","6","NULL","NULL","327","8","79"
"89","2015-07-21","22:29","5:18","409","NULL","10","NULL","NULL","377","8.5","83"
"90","2015-07-22","23:52","5:35","342","NULL","10","NULL","NULL","317","7.5","74"
"91","2015-07-23","1:18","5:28","249","NULL","1","NULL","NULL","245","7","68"
"92","2015-07-24","2:42","5:44","182","NULL","8","NULL","NULL","167","4.5","44"
"93","2015-07-25","22:06","1:49","223","NULL","4","NULL","NULL","213","6","60"
"94","2015-07-25","4:26","7:13","166","NULL","6","NULL","NULL","145","5.5","54"
"95","2015-07-25","15:23","16:44","81","NULL","2","NULL","NULL","75","4","40"
"96","2015-07-26","0:38","7:17","399","NULL","5","NULL","NULL","387","9","88"
"97","2015-07-28","22:53","6:08","435","NULL","4","NULL","NULL","426","9.5","95"
"98","2015-07-29","22:49","2:18","209","NULL","6","NULL","NULL","189","5.5","56"
"99","2015-07-29","3:47","7:07","200","NULL","4","NULL","NULL","185","6","60"
"100","2015-07-29","16:45","17:46","61","NULL","2","NULL","NULL","56","3.5","36"
"101","2015-07-30","22:10","7:07","537","NULL","7","NULL","NULL","516","9.5","97"
"102","2015-07-31","20:54","6:06","552","NULL","3","NULL","NULL","538","10","100"
"103","2015-08-01","22:21","6:48","507","NULL","15","NULL","NULL","469","9","92"
"104","2015-08-01","15:15","16:19","64","NULL","2","NULL","NULL","51","2","22"
"105","2015-08-02","22:35","8:15","580","NULL","8","NULL","NULL","546","9.5","95"
"106","2015-08-03","22:25","6:52","507","NULL","9","NULL","NULL","489","9.5","96"
"107","2015-08-03","22:06","23:58","112","NULL","2","NULL","NULL","89","4.5","45"
"108","2015-08-04","1:45","7:26","341","NULL","6","NULL","NULL","326","7.5","74"
"109","2015-08-05","21:39","1:54","255","NULL","9","NULL","NULL","240","6","59"
"110","2015-08-05","2:55","6:41","226","NULL","10","NULL","NULL","196","5.5","54"
"111","2015-08-06","23:05","1:11","126","NULL","4","NULL","NULL","118","4.5","44"
"112","2015-08-06","2:10","6:00","229","NULL","5","NULL","NULL","207","6.5","65"
"113","2015-08-07","23:37","6:04","387","NULL","6","NULL","NULL","371","8.5","83"
"114","2015-08-08","1:09","7:05","356","NULL","11","NULL","NULL","320","8","80"
"115","2015-08-09","0:01","7:32","451","NULL","11","NULL","NULL","419","9","92"
"116","2015-08-10","22:32","6:34","482","NULL","5","NULL","NULL","467","9.5","93"
"117","2015-08-11","22:52","5:35","403","NULL","7","NULL","NULL","391","9","89"
"118","2015-08-12","21:23","4:51","448","NULL","14","NULL","NULL","404","8.5","87"
"119","2015-08-14","23:26","6:43","437","NULL","10","NULL","NULL","412","9","88"
"120","2015-08-15","23:46","6:53","426","NULL","5","NULL","NULL","413","9.5","93"
"121","2015-08-16","23:21","7:32","490","NULL","9","NULL","NULL","476","9.5","95"
"122","2015-08-16","14:45","15:51","66","NULL","0","NULL","NULL","62","3.5","37"
"123","2015-08-17","22:59","6:23","444","NULL","6","NULL","NULL","422","9.5","97"
"124","2015-08-17","21:24","22:59","95","NULL","3","NULL","NULL","79","4","42"
"125","2015-08-18","23:00","6:58","478","NULL","7","NULL","NULL","450","9.5","95"
"126","2015-08-20","0:50","6:51","361","NULL","5","NULL","NULL","342","8","81"
"127","2015-08-22","23:38","6:04","386","NULL","3","NULL","NULL","369","9","88"
"128","2015-08-23","6:26","8:18","112","NULL","2","NULL","NULL","71","4.5","45"
"129","2015-08-28","21:03","1:22","258","NULL","9","NULL","NULL","235","6","60"
"130","2015-08-28","4:38","6:08","90","NULL","1","NULL","NULL","83","4","41"
"131","2015-08-30","23:36","8:02","506","NULL","11","NULL","NULL","484","9.5","94"
"132","2015-08-31","23:19","5:10","350","NULL","5","NULL","NULL","333","7.5","76"
"133","2015-09-01","21:40","6:13","513","NULL","9","NULL","NULL","487","9.5","94"
"134","2015-09-02","21:51","6:06","494","NULL","7","NULL","NULL","481","9.5","97"
"135","2015-09-03","23:45","4:33","288","NULL","4","NULL","NULL","259","7","71"
"136","2015-09-04","22:48","6:11","443","NULL","5","NULL","NULL","432","9.5","97"
"137","2015-09-05","22:52","3:17","265","NULL","4","NULL","NULL","251","6.5","67"
"138","2015-09-08","22:44","5:54","430","NULL","12","NULL","NULL","386","8.5","85"
"139","2015-09-08","21:31","22:58","87","NULL","1","NULL","NULL","75","4","41"
"140","2015-09-10","23:34","6:33","419","NULL","6","NULL","NULL","396","9.5","94"
"141","2015-09-10","7:41","9:27","106","NULL","2","NULL","NULL","92","3","31"
"142","2015-09-11","21:54","6:05","491","NULL","5","NULL","NULL","479","9.5","97"
"143","2015-09-12","23:04","6:33","449","NULL","9","NULL","NULL","427","9","90"
"144","2015-09-13","4:03","9:34","331","NULL","1","NULL","NULL","328","8","79"
"145","2015-09-14","23:04","6:14","430","NULL","3","NULL","NULL","427","9.5","94"
"146","2015-09-15","22:49","6:13","444","NULL","4","NULL","NULL","430","9.5","95"
"147","2015-09-16","22:29","6:13","464","NULL","7","NULL","NULL","445","9","92"
"148","2015-09-18","21:54","2:16","262","NULL","7","NULL","NULL","243","6","59"
"149","2015-09-18","4:18","6:15","117","NULL","1","NULL","NULL","111","4","38"
"150","2015-09-19","21:00","1:01","241","NULL","4","NULL","NULL","233","6","62"
"151","2015-09-19","2:34","6:24","230","NULL","7","NULL","NULL","218","6","58"
"152","2015-09-19","14:05","15:35","90","NULL","0","NULL","NULL","87","3.5","36"
"153","2015-09-20","22:43","7:23","520","NULL","11","NULL","NULL","496","9","91"
